Text,GPT,Gemini,Deepseek,p1_Reasoning,p2_Reasoning,p3_Reasoning
public buijja geche tora sab bat-par,6,2,2,2,2,3
hijray ki bole dekh,0,0,0,0,0,0
awamiligara ture pun marche?,3,3,3,3,2,3
"Ai buira mohila o nki Rape ar mamla dey, R Bangladesh ar police sei mamla ney",0,0,0,4,6,3
kono vodro ghorer shontan awami korte pare na,3,3,6,3,3,2
Last 17 bochor tow bal felaisen apnara ghore bose..,3,2,2,3,6,2
khanki magi tor sasos koto boro..amar r amar arafat ar modha..prbml create korta chas.. tor magi giri onno karo oporar kris..amar jamai ar opor nah..,0,0,0,0,6,0
9 bochhor training prapto RAW er agent,2,1,1,2,0,2
jamat dhongsho carlow dharma. yunus dhongsho carlow desh. shiksha dhongsho carlow samanvayakara.,3,6,5,2,2,2
Baal er hijaf poro tumi,0,5,5,4,6,0
eto kichhu na kore bigoto 16 bochhore dudu vai ekta gono prosrab kormoshuchir daak dilei parto,3,3,2,2,2,2
"tui fakinnir baccha, tui aage janti na, balad choda lock, ore jakhan khaili takhan cayman lagchilo",0,6,0,0,6,0
"Ore sbar khate jaoyar permission deya hok,, taile o r boissommer shikar hbe nağŸ¤£ğŸ¤£",0,6,2,3,0,0
Bangladesh âŒ Bokacoda desh âœ…,1,1,1,3,1,1
shangbadik hasinar dalal,3,3,3,3,3,3
Omanush ekta...vabsilam nuntomo shikkha-dikkha ache...oitao nai,6,2,2,2,6,6
shontrashi tare cute lagtese,2,2,2,2,6,2
ekushey channel er nam change kore dewa uchit fekushey,3,2,3,2,3,2
manush eto omanush hoy kivabe?,2,2,2,2,6,6
Maf korum na batpar,2,2,2,6,2,2
Eisob sauar pola go laiga rajniti hedar* bhitre...,3,6,3,6,3,3
Choto baccahr kace gali sunte vlo eyy lagce or...!,6,2,2,6,2,2
sexmujib er name nai ken!,3,3,3,2,0,3
"Tor,maka,TUi,sod",2,6,6,6,0,6
Chunni.  Do not show  her face in fb.,6,6,0,6,6,6
Ei shalarput amr ex er best friend chilo,2,6,6,6,6,6
Natok bad den aj ei obosta er jonno apnara dyee,3,2,2,2,2,6
bangladesher khabar ananda bazar bedona duhkh koshto hotasha nia chapay.,1,2,1,2,2,2
He ki manush ar jater ni kuttar baccha,4,4,4,6,6,6
Tr to nijer e bici nai,0,0,2,6,0,0
Mc er bari koi ğŸ¤¬ğŸ˜¡ğŸ¤¬,2,6,6,1,2,6
Eta 100% sure bhadro masher kutta'r baccha.,6,6,6,6,6,6
"Keu hotash hoben na karon hujur makhraj o sifat shoho aday kore English uccharon kortese, keu hasben na ğŸ«£ğŸ«£",5,2,5,6,5,2
Magir putere policer hate na toilla pabliker kache dewa hok,6,6,6,6,6,4
Tor bap Awamilig.,3,2,3,3,2,3
Egula kivabe je Doulatdia theke palaiya asiyache... Doulodia thanar OC sahebke suspend kora uchit.,1,2,2,4,2,0
Hujurgula Allah'r naam bad diya ekhon khali Awami League Awami League jikir pare. ğŸ˜‚ğŸ˜‚ğŸ˜‚,5,3,3,5,2,5
Kuttar bacha manush hoilo na amgo ijjot r rhaklo na shob gular shasti chay dhorkar porle 2 gramer shob gulare shasti hok,6,6,6,6,1,6
nesha khor er moto cehara niye manus k bichar korte ase,6,6,6,4,6,6
Madarchod ai kuttar bacha ke pakistan pathanor babostha kora hok,1,3,1,3,1,3
Kichu manushke thik ebhabey tha-praite parle khub bhalolagto..,2,6,2,6,6,6
Seriously!!! Koto cheap lok! Eijonnoi to education r family status dorkar.,6,2,6,6,2,6
NCP = Notional condom party,3,3,3,6,2,3
Baby Tariq X Baby Joy. Two babys corrupted by their mommys' poison milk.,3,6,5,6,3,1
Tor heda,2,6,2,6,6,2
Bd er moton ajaira public kothao naiâ€¦ not even in india,1,6,1,2,3,6
Tui tokai tor choddo gushti tokai,6,6,2,6,6,6
"phensedyl khor atril, tar bondhu , insomniac jawad, booba jeen e akranto hoie dekhlo arek Neshakhor tahmid ekakitte train er nari dekhche .",6,2,6,6,2,6
"Jegechere jegechere 500 takar kamlara, rastaghat bondho kore jegeche, shadharÃ´n manushke bhoganti korte jegeche.",3,6,6,2,3,3
Brikrito mostishko,2,2,2,2,6,6
Dhonnobad mugdho panir bottle kobor theke uthe esheche.,2,2,5,6,5,3
facist govt er oshikkhito lok der theke bhalo ki asha kora jai chotka? lol 15 bochor porashuna korenai... dokane khali editing shikhlo..,3,3,3,2,3,3
Musolman shomprodayer Bhagoban ğŸ¤£,5,5,5,5,5,6
"gaja khor,magibaji,casino jader nesha tader jonno egula suta ghotona, bichar Prokiyadhin inshallah ektaw sar pabena",6,6,5,1,2,5
Neta giri hoga die bhore daw halay fensi khaite gesilo,3,3,3,3,3,3
tui to ekta pure harami.....tor moto luicha....na thak Bhalo kisui likhi tor birthday jehetu..,2,2,6,2,6,6
ei bostire kibria vai ante gelo ken,2,2,6,4,6,6
Saddam bhai cooks mAgi noodles,2,2,2,6,6,0
Kire Hasnat Abdullah ganja khais na mod khais?,2,6,6,3,6,6
Khomotar lobh samal dite parchena.,2,2,2,3,3,3
"Resign kor bhai, apnar theke bhalo lo amar bashar buyao bujhe.",2,2,6,6,6,6
Rumin Farhana bujhte parlo ar sangbadik hoye bujhlen na? Byaparta kemon holo? Ekhane apni sangbadik hoye marata khelcen ar ki ğŸ¤£.,2,2,3,3,6,3
Terrorist der human rights ase je jantam na,2,2,1,6,4,4
"Natok korar jaiga pai na...ai mohila nijei to tader relation er bepare konodin sotti kotha bole nai...tar aktai uttor, a beppar a ami kisu bolte chai na,pore janabo,secret ai sei...r akhon abar onno kotha.uchit shikkha hoise,faltu mohila akta",0,6,0,6,1,6
Tora desh dhongser karigor.,3,3,3,1,4,2
Tor chokh tera,6,2,6,6,5,4
Ay tv channel gulo r kono kaj nai akta vlo news kor asob tokay k niya ki kore,2,2,2,6,2,6
Tui putki mara kala,6,6,4,6,1,6
ore amr kase niya aishen ore sep chhara goa mara uchit,6,6,6,6,6,6
Tore kutta diye chodabo,6,6,0,4,6,6
amr kuri bosorer oviggotay emn bainchod r dekhi nai,6,6,0,6,6,6
Hala cool hote giya clown ğŸ¤¡ hoya gelo.,2,2,2,6,6,2
togo Abba BNP tk na khaia sob korbo togo abba BNP re loia ay trpr desh Europe hoia jaibo Bandirpolara,3,3,3,6,1,3
Natokir put bollo naki cheleta?,0,2,2,6,6,2
vai sob bad halara ki kortese pichone ğŸ˜‚,2,2,2,2,2,6
Dhon bolechen Apu shei hoyeche,2,2,0,6,6,2
Tor dorkar kaan mola,6,2,6,2,6,2
"Sob muslim jongi na, kintu sob jongi muslim",5,5,5,5,5,5
Tor Jonno shahabagi dorkar,3,2,2,4,6,6
Yunus ekjon nobir naam na hole kije gali ditam ar kichu komuna.,5,2,6,1,3,3
"Ora dhorshon korleo jayez, boltkar korleo jayez. Apnara shudhu chaia chaia upovog korun.",0,6,0,0,0,0
Archii ashbi naki chung chang bia korbi?,4,4,4,6,4,4
beporda Meye der dhorey dhorey dhorshon kora houk,0,0,0,5,0,5
Etai fokinnir pular bari. Ekhon fokinni pula angul puilla moda oise ğŸ˜‚ğŸ˜‚ğŸ˜‚.,6,6,0,6,6,6
Malaun er baccha malaun amar rob er kocom ture jodi amar samne pai ak bindu poriman somoy nimu na tore jobai korte,5,5,5,5,5,5
Bhaiyar matha kharap hoye gese ei gorome,2,2,2,2,2,2
achoda Kotha batra bolbina,6,2,2,6,6,6
Asta Bayadob.NirLojjo,6,2,6,6,6,6
Ei malaun gula muslim marar jnno india theke israel porjonto chole jacche.,5,5,5,5,5,5
Paltu bokta bhikkha chaite asche.,6,2,3,3,3,6
Shala Kailla choda,6,4,6,4,4,4
Batpar-er arek naam Jamaat-e-Islami,3,2,3,5,3,5
Ekhane jara ache tader purushotto thik ache kina amar shondeho ache.,6,0,0,6,6,6
Mal beshi khaise,6,2,2,6,2,6
ğŸ˜‚era sustho? Manush etao bojhe na?,6,2,2,0,0,2
Chapris Tokais ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚Village Er Chacha To Viyas ğŸ˜‚,6,2,6,1,6,6
Atto faltu kotha bolar pore mukh jole uthe na?,6,2,2,2,2,6
we are fucking awoamilig,3,3,4,3,3,3
"We are officially back baby ğŸ”¥ Jhoi Bangla, Jhoi Bongoboltu, Jhoi Hind âœŠ",3,3,1,1,4,2
"Pura party toh youth wing, er cheye bhalo buira wing khuluk",3,2,3,3,4,6
Abar koy tarc bole madrasa hoye geseğŸ˜µâ€ğŸ’«,5,2,5,6,6,5
Sheikh mujib jaroz,3,3,3,3,3,3
Ami chinta kori tor naam ke je Ahmadullah rakhl. Tor naam Ahmad Ullah na rekhe. Ahamok rakha dorkar chilo thik kina? ...,6,6,5,6,3,6
"Awami League er slogan ar hindhuder slogan same same... Just sounds different.. (Joy Bongo bondhu = Joy shree ram) Hindhu ra ramer puja kre, ar Awami League sheikh mujib o ar bindia'r puja kre....",5,5,5,5,5,5
mojiber jaroz pola post dise,3,3,3,3,3,3
Kawwa jotoi moyur shajte chay kawwa kawwa e thake kokhono moyur hoite parbe na,2,2,6,4,4,6
Boin Allah er waste tor jibba ta mukher bhitor dhuka,0,6,5,2,2,6
Hamla-kari meyeta ki Muslim?,5,2,5,0,5,2
"Trump paglar boyosh hoyeche, ager moto khepate nai. Na hole American-er moddhe je Palestine supporter ase, oder eto din thakte ditona. Ekhon ja korar, Netanyahur-i korte hobe. Onk Muslim mone kore, onno dhormer manush mere swargo pawa jai â€” ar jodi Yahudi mare, taile jannatul ferdous er moto uchchotor level er swargo. Ei dhoroner conviction-e driven manushke control kora khub tough.",5,5,5,0,2,3
Fackistan ğŸ˜„,1,1,1,0,3,2
Pakistan holo prithibir jogonnatom rastro.,1,2,1,3,3,2
Post kari potitar son.,2,6,6,6,6,6
"Emon hazaro gorbhoboti narike guli kore, bombing kore hotya korche â€“ tokhon tomar brain ki nitombe chilo, Chadu?",3,2,0,3,6,1
"Shobkichur mule ase oi noshto bam-gula. Multiculturalism ar uddeshyomulok ""Muslim invasion"" nam diye Europe-ke ei bamgula noshto kortese.",3,3,5,6,5,1
Muminra jole charakhara hoye jacche ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,5,5,5,5,5,5
"Sara duniya ekdin Islam-er shadow'r niche chole ashbe, In Sha Allah.",2,2,5,2,2,2
Ei chorie pora â˜ªï¸ancer ke rodh korte hobe. Nahole era nij desher moto onno desh-gulokeo bhagar baneye felbe.,5,5,5,1,3,5
Manushke niye ninda kora thik na. Tobe eder niye kora jay ğŸ™ƒ,6,2,6,4,4,6
Uhhhhhh gondhoo ek shahbagi arek shahbagi er gondhe nak dhore rakhse taile bujhen shadharon manush eishob shahbagi der shamne kemne jabe?ğŸ™‚,3,6,3,6,6,0
"Beshi kichu na porda, biri khawa, freedom ei shob niye kotha bolen shob nari badi ber hoye ashbe ğŸ˜†",0,0,0,0,4,0
Bastobe oshob howa onek kothin.Tai byashabrittikei sohoj mone kore..Mindset mindset,0,2,6,0,0,6
Shabagi is shabagi.Pootki hoyto hoy but never a pookie.,3,6,6,0,3,0
Vai apnara je ere niya video banaisen tara to akhn aro beshi andolon korbo koibo ai video ta banaisen rape er jonnoğŸ™‚,0,2,0,0,6,0
Boin tui nekami koros? Ole le le le kichui bujhos na?,0,2,0,6,6,0
